Model,Region,Bias Score,RMSE Score,Seasonal Cycle Score,Spatial Distribution Score,Overall Score,Overall Note
ED-ModelC-fuel_moisture_balance,seas,0.613516,0.404166,0.850071,0.446438,0.5553121666666667,derived
ED-ModelC-temp_window,seas,0.591162,0.382273,0.790666,0.425948,0.5272473333333333,derived
ED-ModelC-final,seas,0.496169,0.377266,0.826697,0.358569,0.4886893333333333,derived
ED-ModelC-final,shaf,0.759732,0.502274,0.902122,0.567063,0.6655328333333334,derived
ED-ModelC-fuel_moisture_balance,shaf,0.724854,0.497227,0.897269,0.453137,0.632428,derived
ED-ModelC-temp_window,shaf,0.728496,0.50634,0.913889,0.384318,0.6279798333333334,derived
ED-ModelC-precip_shape,shaf,0.690842,0.490047,0.915954,0.412928,0.61511,derived
ED-ModelC-base_refit,shaf,0.71149,0.484933,0.898767,0.275525,0.594523,derived
ED-ModelC-humid_suppression,shaf,0.694352,0.478825,0.898116,0.282655,0.5878541666666667,derived
ED-ModelC-precip_shape,shsa,0.712979,0.537932,0.9035,0.607011,0.6687221666666666,derived
ED-ModelC-humid_suppression,shsa,0.660549,0.526798,0.861367,0.559891,0.6326586666666666,derived
ED-ModelC-temp_window,shsa,0.621356,0.454271,0.833085,0.565465,0.591634,derived
ED-ModelC-base_refit,shsa,0.596304,0.482554,0.810088,0.572175,0.5899964999999999,derived
ED-ModelC-fuel_moisture_balance,shsa,0.616619,0.44647,0.833413,0.519241,0.5798053333333333,derived
ED-ModelC-final,shsa,0.473091,0.429758,0.820024,0.383616,0.5015563333333334,derived
ED-ModelC-fuel_moisture_balance,tena,0.580317,0.391397,0.688116,0.300883,0.48873783333333326,derived
ED-ModelC-base_refit,tena,0.542766,0.382844,0.716099,0.187678,0.4591661666666667,derived
ED-ModelC-humid_suppression,tena,0.550548,0.38379,0.723923,0.0821389,0.44578965000000004,derived
ED-ModelC-precip_shape,tena,0.547995,0.393337,0.678789,0.0632332,0.43744770000000005,derived
ED-ModelC-temp_window,tena,0.49095,0.360569,0.69174,0.100804,0.4159303333333333,derived
ED-ModelC-final,tena,0.437076,0.307975,0.694036,0.160304,0.3907403333333333,derived
