[setup] family=dry_season_gate model=ED-C1-dry_season_gate trials=500 cap=5.0
[setup] land cells=13826
[baseline internal] 0.6103358188328472 {'overall': 0.6295327635038362, 'bias': 0.7070857034108468, 'rmse': 0.37905444206142713, 'seas': 0.8505057485716704, 'spatial': 0.7544105415067992}
/Users/adithyasrinivasan/Projects/creativity-docs/exp-workspaces/exp_04/hermes/base/scripts/research_model_variants.py:168: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  sampler=optuna.samplers.TPESampler(seed=SEED, multivariate=True)
[I 2026-05-22 17:41:26,526] A new study created in memory with name: no-name-331d4af5-cd34-45c7-8336-ee4a9e9df167
[I 2026-05-22 17:41:26,997] Trial 0 finished with value: 0.6103502735484728 and parameters: {'k1': 0.02128012643297453, 'D_low': 33.107928264466416, 'k2': 0.0032479995010666245, 'D_high': 3020.3711370643746, 'fire_exp': 0.5746291131439772, 'P_half': 3.1845074798114754, 'pre_dampen_half': 5.714386941567207, 'gpp_af': 0.4621796973523708, 'gpp_b': 5.190713720036356e-05, 'gpp_d': 128.62113841235993, 'ign_k': 0.8146117322506592, 'ign_c': 20.126441845162326, 'dryanom_half': 7.0710678118654755, 'dry_amp': 0.0}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:27,466] Trial 1 finished with value: 0.3994490055432051 and parameters: {'k1': 0.0024588177508408663, 'D_low': 505.76365554531026, 'k2': 0.00015744430785460893, 'D_high': 8374.542128252584, 'fire_exp': 2.4359771925544855, 'P_half': 1109.4004765669947, 'pre_dampen_half': 0.06858711268769915, 'gpp_af': 0.036368454253018066, 'gpp_b': 0.0003202734055529712, 'gpp_d': 2.875653106184188, 'ign_k': 0.09136775591903566, 'ign_c': 378.1286205477457, 'dryanom_half': 0.47285834929590886, 'dry_amp': 0.35393884342537707}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:27,935] Trial 2 finished with value: 0.4704332259081153 and parameters: {'k1': 0.01747293419937451, 'D_low': 21.56687982880773, 'k2': 0.0011906989891093689, 'D_high': 111.29634327666197, 'fire_exp': 0.5428632412918669, 'P_half': 0.4093416523081073, 'pre_dampen_half': 5.731743157780468, 'gpp_af': 0.0014025505847489843, 'gpp_b': 0.016573943211147742, 'gpp_d': 56.80828363767336, 'ign_k': 0.009914775233481382, 'ign_c': 0.6176052321048419, 'dryanom_half': 13.275358241608608, 'dry_amp': 0.8837624511913766}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:28,409] Trial 3 finished with value: 0.4304360468369279 and parameters: {'k1': 0.0011610896378154052, 'D_low': 40.252658265121426, 'k2': 0.001174786640706779, 'D_high': 56177.74375900673, 'fire_exp': 6.056260498661235, 'P_half': 0.7542490832418942, 'pre_dampen_half': 3.9727909021108863, 'gpp_af': 0.33792611837717407, 'gpp_b': 0.0002753737364226985, 'gpp_d': 0.022605484362884662, 'ign_k': 0.2013390570837119, 'ign_c': 4.044369308675685, 'dryanom_half': 235.12400578771334, 'dry_amp': 0.7927078015073831}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:28,880] Trial 4 finished with value: 0.4654566192265369 and parameters: {'k1': 3.374640795891094e-05, 'D_low': 723.5318788392136, 'k2': 0.00024358562717933247, 'D_high': 2868.441271942391, 'fire_exp': 0.9175577123517281, 'P_half': 8469.320186205292, 'pre_dampen_half': 0.2296496996648541, 'gpp_af': 12.501369466687006, 'gpp_b': 0.015725734088218497, 'gpp_d': 40.019702901081, 'ign_k': 6.910359514379183, 'ign_c': 0.23519538960402586, 'dryanom_half': 4.840818967925745, 'dry_amp': 0.864897274671636}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:29,350] Trial 5 finished with value: 0.450103758954223 and parameters: {'k1': 0.006177537643722516, 'D_low': 19.27497992587055, 'k2': 0.00028129836988872683, 'D_high': 8601.01739659331, 'fire_exp': 2.8212879483832736, 'P_half': 1.2342691973108084, 'pre_dampen_half': 819.4530660705137, 'gpp_af': 0.10035294625496403, 'gpp_b': 0.10356672648781835, 'gpp_d': 0.33571970756633, 'ign_k': 0.39512837748591284, 'ign_c': 3.133432481753629, 'dryanom_half': 2.2736247373562994, 'dry_amp': 0.024749607024216684}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:29,820] Trial 6 finished with value: 0.43607454860669365 and parameters: {'k1': 0.00024675511729869504, 'D_low': 89.27256852289709, 'k2': 0.00036131381929113546, 'D_high': 286.20693232126104, 'fire_exp': 1.8246619220692903, 'P_half': 0.1516354415888156, 'pre_dampen_half': 0.13407536483156432, 'gpp_af': 0.004700314642501022, 'gpp_b': 0.3991439164638959, 'gpp_d': 23.997234032781233, 'ign_k': 0.0034627765140456705, 'ign_c': 13.49220308970169, 'dryanom_half': 69.87811601417758, 'dry_amp': 0.2945065828304384}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:30,294] Trial 7 finished with value: 0.4371167344426846 and parameters: {'k1': 0.0004363114144298454, 'D_low': 34.14233119708818, 'k2': 0.08040804735898477, 'D_high': 1419.802120125038, 'fire_exp': 7.407741914034378, 'P_half': 0.8052554883941644, 'pre_dampen_half': 0.25862332121314435, 'gpp_af': 0.0025577142056836762, 'gpp_b': 5.805679632774964e-06, 'gpp_d': 10.127466306065491, 'ign_k': 0.6925100525033566, 'ign_c': 1.9087739945768285, 'dryanom_half': 50.24934569657348, 'dry_amp': 0.8053466993121347}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:30,770] Trial 8 finished with value: 0.4541081594060958 and parameters: {'k1': 0.0005169536281081815, 'D_low': 5.275947050160026, 'k2': 2.4744886673258286e-05, 'D_high': 3756.910979257126, 'fire_exp': 3.4109381706912614, 'P_half': 52.70651879009507, 'pre_dampen_half': 0.6648232635006203, 'gpp_af': 0.0026821013073470112, 'gpp_b': 2.1159591335638427e-05, 'gpp_d': 786.7619722195815, 'ign_k': 0.0013109692579218284, 'ign_c': 8.874420781973114, 'dryanom_half': 0.15990499196040237, 'dry_amp': 0.6592524967445438}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:31,241] Trial 9 finished with value: 0.3991197133772352 and parameters: {'k1': 7.726846476206575e-05, 'D_low': 8207.105681866542, 'k2': 0.0003624886001313094, 'D_high': 81140.17829670661, 'fire_exp': 3.1709666519525834, 'P_half': 397.7344745429521, 'pre_dampen_half': 17.5626721037711, 'gpp_af': 0.0013751892979050613, 'gpp_b': 0.21602749761308987, 'gpp_d': 35.95941160766872, 'ign_k': 0.09147378028298725, 'ign_c': 4.623952655666689, 'dryanom_half': 12.887051907711005, 'dry_amp': 0.06659507396536411}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:31,718] Trial 10 finished with value: 0.5876074232088062 and parameters: {'k1': 0.010307697816975707, 'D_low': 108.9354827146535, 'k2': 0.01921698818914606, 'D_high': 748.18718105369, 'fire_exp': 0.5577359991120311, 'P_half': 3.536971788816709, 'pre_dampen_half': 3.4798793402940693, 'gpp_af': 2.79121950487348, 'gpp_b': 1.7583413640448487e-05, 'gpp_d': 882.0204332557387, 'ign_k': 0.26283960458399813, 'ign_c': 14.413876021068726, 'dryanom_half': 10.26442803124891, 'dry_amp': 0.012006269750554388}. Best is trial 0 with value: 0.6103502735484728.
