region,cells,pred_mean,obs_mean,ratio,p_ann,p_month,dbar,t_air,gpp,dryfrac,hotdryfrac,gpp_p90,dbar_p90,pann_p90
mide,727,0.0033231114502996206,0.00017601218132767826,18.88000822643658,233.08226013183594,19.42352294921875,8364.853515625,17.19786262512207,0.17399927973747253,0.38364818692207336,0.3138774633407593,0.6644049882888794,21783.05859375,584.1000366210938
tena,996,0.0037519303150475025,0.0002521715359762311,14.878484542849687,758.2338256835938,63.1861457824707,1307.251708984375,10.64023494720459,0.7638709545135498,0.17541849613189697,0.04111962765455246,2.478818655014038,3904.21875,1312.275146484375
euro,893,0.0028735639061778784,0.0002111054927809164,13.611980696059195,698.6693725585938,58.222442626953125,448.1964416503906,8.124809265136719,0.9929882287979126,0.0955100804567337,0.042340874671936035,2.5842862129211426,1169.656005859375,1058.9000244140625
ceam,295,0.007620734162628651,0.0007288584602065384,10.45571200478819,966.0889892578125,80.50741577148438,1317.1075439453125,16.096111297607422,1.0481663942337036,0.23815609514713287,0.11906987428665161,2.7948741912841797,5109.87255859375,1899.7298583984375
eqas,440,0.0030574609991163015,0.0003417350526433438,8.946875559061787,1919.3802490234375,159.9483642578125,13.376693725585938,12.13481330871582,1.6838018894195557,0.024858109652996063,0.024858109652996063,4.012414455413818,0.0,3371.60498046875
seas,782,0.010589927434921265,0.0013442510971799493,7.8779384664513294,1294.9892578125,107.91577911376953,1315.317138671875,19.479026794433594,1.463378667831421,0.274301677942276,0.21714499592781067,3.2823374271392822,1589.32421875,2146.25
shsa,1348,0.009451082907617092,0.001413789577782154,6.6849289664154306,1370.036865234375,114.16974639892578,895.016845703125,20.771530151367188,1.6069730520248413,0.24537678062915802,0.1603090465068817,3.244534492492676,3230.1298828125,2401.22509765625
nhsa,281,0.00839139986783266,0.0012806036975234747,6.552690639194525,2130.53564453125,177.5446319580078,157.54396057128906,22.009611129760742,2.36323618888855,0.14187578856945038,0.14122678339481354,3.7877373695373535,407.6334533691406,3185.97509765625
ceas,2286,0.002575814491137862,0.001150343450717628,2.2391699516277517,466.7916259765625,38.89930725097656,2456.678466796875,7.052116394042969,0.35267093777656555,0.250164270401001,0.07223648577928543,1.5524489879608154,6603.92919921875,818.5250244140625
boas,1930,0.000729421095456928,0.00032946138526313007,2.213980532681797,468.9406433105469,39.07838821411133,545.2246704101562,-4.8416852951049805,0.4073941111564636,0.13174621760845184,0.0006187562830746174,1.5558241605758667,1800.576904296875,648.7825317382812
global,13826,0.006107589229941368,0.002987454878166318,2.0444122093806345,873.5328369140625,72.79440307617188,2182.943115234375,13.268494606018066,0.8469700217247009,0.23561494052410126,0.1405095010995865,2.668759822845459,5411.04345703125,1723.3250732421875
bona,1104,0.0004340098239481449,0.00032074403134174645,1.3531345253080687,571.96142578125,47.663455963134766,609.68408203125,-1.8843631744384766,0.4079757034778595,0.11311496049165726,8.066570444498211e-05,1.3546085357666016,2169.5390625,882.9249877929688
nhaf,910,0.014367198571562767,0.011426846496760845,1.2573196440836147,944.15625,78.6796875,5667.61767578125,26.41783332824707,0.8459821939468384,0.4101458191871643,0.39975839853286743,2.8493850231170654,20439.435546875,1667.385009765625
aust,786,0.00508582778275013,0.004865230526775122,1.045341583243721,492.50311279296875,41.041927337646484,4917.03125,20.348451614379883,0.15215463936328888,0.33908525109291077,0.23099765181541443,0.5246663093566895,13448.419921875,987.8207397460938
shaf,836,0.014302007853984833,0.014220100827515125,1.0057599468848675,887.5053100585938,73.95877075195312,1722.0439453125,21.638059616088867,0.8863149881362915,0.35738837718963623,0.23790782690048218,2.51231050491333,6333.2060546875,1520.59326171875
