region,bias,rmse,seasonal,spatial,component_mean,pred_mean,obs_mean,ratio
global,0.7087586110835506,0.36952663432418137,0.8428610094065021,0.7614289565904568,0.6706438028511728,0.006384228613203807,0.002987454786311091,2.1370126303903128
bona,0.848656769257726,0.34773409524517934,0.934771005220617,0.4619501470139134,0.6482780041843589,0.0001567195617804125,0.0003207440378044602,0.4886125471406054
tena,0.380210354546744,0.11280541773588075,0.6856205648105876,0.0664555582106172,0.3112729738259574,0.0035491938315940354,0.00025217155253589766,14.074521022803602
ceam,0.18039991380264309,0.17477184248504538,0.8692681541503098,0.047642970712098255,0.3180207202875241,0.008063451530421154,0.0007288585650614946,11.063122402461866
nhsa,0.3734815597843867,0.3547051378860283,0.9170044142848811,0.4611266594537472,0.5265794428522609,0.010713284888774726,0.001280603540327849,8.36580920092271
shsa,0.36706873979802457,0.2809963008557376,0.8564423991822542,0.24881661603996222,0.43833101396899465,0.010771355105484362,0.0014137896515067354,7.618781964053912
euro,0.3666404853962304,0.11176892961086583,0.8211323326435123,0.057609470305146265,0.3392878044889387,0.0023699322054243407,0.00021110548949379446,11.226293545851693
mide,0.39977004231372393,0.09761155111275129,0.7793329072927523,0.062014704250242025,0.3346823012423674,0.0024851187540656304,0.00017601219415959687,14.119014604711225
nhaf,0.7620961724678933,0.38937719664041703,0.8720116170497405,0.6159655239366718,0.6598626275236807,0.014358117819121333,0.011426847018725877,1.256524900905322
shaf,0.7574872698835927,0.4039920136012235,0.9173848361348871,0.63983559155706,0.6796749277941908,0.015052583451109141,0.014220101930485054,1.0585425845493321
boas,0.8408207283269505,0.29998594616832,0.7960497949578677,0.6988578596421828,0.6589285822738302,0.00042907398637805847,0.00032946135972198416,1.3023499491344976
ceas,0.7600821573306276,0.2862252507658245,0.7124063737019497,0.586387093016552,0.5862752187037384,0.0022954509421214036,0.0011503434752898598,1.9954483069046443
seas,0.4130474778571102,0.29291134520799544,0.8647059466624778,0.22742572188829085,0.4495226229039686,0.0112095616755741,0.0013442512162868746,8.33888898996019
eqas,0.3332371441364251,0.3322682647111622,0.8184168516025985,0.04168370259001056,0.3814014907600491,0.00480061150108007,0.0003417350568881355,14.04775831530728
aust,0.7265662292024186,0.35404024099688275,0.5643326984257769,0.71247019516198,0.5893523409467646,0.005040515481572666,0.004865230511450931,1.036028091304852
